Section,OD,CH,Diff
IPS to SV-08,1,285,815
IPS to SV-08,816,286,1044
IPS to SV-08,1860,287,1044
IPS to SV-08,2904,288,986
IPS to SV-08,3890,289,1027
IPS to SV-08,4917,290,1082
IPS to SV-08,5999,291,1025
IPS to SV-08,7024,292,1101
IPS to SV-08,8125,293,1004
IPS to SV-08,9129,294,999
IPS to SV-08,10128,295,814
IPS to SV-08,10942,296,980
IPS to SV-08,11922,297,1000
IPS to SV-08,12922,298,1148
IPS to SV-08,14070,299,963
IPS to SV-08,15033,300,1020
IPS to SV-08,16053,301,985
IPS to SV-08,17038,302,1019
IPS to SV-08,18057,303,1263
IPS to SV-08,19320,304,1099
IPS to SV-08,20419,305,899
IPS to SV-08,21318,306,1523
IPS to SV-08,22841,307,1107
IPS to SV-08,23948,308,604
IPS to SV-08,24552,309,996
IPS to SV-08,25548,310,1099
IPS to SV-08,26647,311,900
IPS to SV-08,27547,311.9,-27547
SV-09 to SV-08,1,344.663,777
SV-09 to SV-08,778,344,1042
SV-09 to SV-08,1820,343,982
SV-09 to SV-08,2802,342,1118
SV-09 to SV-08,3920,341,990
SV-09 to SV-08,4910,340,1011
SV-09 to SV-08,5921,339,1066
SV-09 to SV-08,6987,338,1028
SV-09 to SV-08,8015,337,1302
SV-09 to SV-08,9317,336,791
SV-09 to SV-08,10108,335,1042
SV-09 to SV-08,11150,334,1161
SV-09 to SV-08,12311,333,908
SV-09 to SV-08,13219,332,1023
SV-09 to SV-08,14242,331,998
SV-09 to SV-08,15240,330,904
SV-09 to SV-08,16144,329,1249
SV-09 to SV-08,17393,328,1153
SV-09 to SV-08,18546,327,1053
SV-09 to SV-08,19599,326,847
SV-09 to SV-08,20446,325,1164
SV-09 to SV-08,21610,324,1071
SV-09 to SV-08,22681,323,560
SV-09 to SV-08,23241,322,1513
SV-09 to SV-08,24754,321,960
SV-09 to SV-08,25714,320,868
SV-09 to SV-08,26582,319,1135
SV-09 to SV-08,27717,318,1111
SV-09 to SV-08,28828,317,1026
SV-09 to SV-08,29854,316,994
SV-09 to SV-08,30848,315,1069
SV-09 to SV-08,31917,314,1029
SV-09 to SV-08,32946,313,965
SV-09 to SV-08,33911,312,125
SV-09 to SV-08,34036,311.9,-34036
SV-09 to SV-10,1,344.663,473
SV-09 to SV-10,474,345,1092
SV-09 to SV-10,1566,346,1206
SV-09 to SV-10,2772,347,907
SV-09 to SV-10,3679,348,1000
SV-09 to SV-10,4679,349,1106
SV-09 to SV-10,5785,350,957
SV-09 to SV-10,6742,351,1177
SV-09 to SV-10,7919,352,580
SV-09 to SV-10,8499,353,655
SV-09 to SV-10,9154,354,1430
SV-09 to SV-10,10584,355,1231
SV-09 to SV-10,11815,356,1171
SV-09 to SV-10,12986,357,972
SV-09 to SV-10,13958,358,981
SV-09 to SV-10,14939,359,1083
SV-09 to SV-10,16022,360,1110
SV-09 to SV-10,17132,361,1101
SV-09 to SV-10,18233,362,836
SV-09 to SV-10,19069,363,1035
SV-09 to SV-10,20104,364,1113
SV-09 to SV-10,21217,365,850
SV-09 to SV-10,22067,366,1074
SV-09 to SV-10,23141,367,1051
SV-09 to SV-10,24192,368,1238
SV-09 to SV-10,25430,369,951
SV-09 to SV-10,26381,370,1091
SV-09 to SV-10,27472,371,868
SV-09 to SV-10,28340,372,410
SV-09 to SV-10,28750,372.45,-28750
SV-11 to SV-10,50,409.87,1023
SV-11 to SV-10,1073,409,926
SV-11 to SV-10,1999,408,1024
SV-11 to SV-10,3023,407,1050
SV-11 to SV-10,4073,406,1012
SV-11 to SV-10,5085,405,1031
SV-11 to SV-10,6116,404,1084
SV-11 to SV-10,7200,403,1024
SV-11 to SV-10,8224,402,989
SV-11 to SV-10,9213,401,959
SV-11 to SV-10,10172,400,1027
SV-11 to SV-10,11199,399,1042
SV-11 to SV-10,12241,398,948
SV-11 to SV-10,13189,397,1035
SV-11 to SV-10,14224,396,1132
SV-11 to SV-10,15356,395,937
SV-11 to SV-10,16293,394,1057
SV-11 to SV-10,17350,393,829
SV-11 to SV-10,18179,392,1269
SV-11 to SV-10,19448,391,1038
SV-11 to SV-10,20486,390,1029
SV-11 to SV-10,21515,389,990
SV-11 to SV-10,22505,388,1185
SV-11 to SV-10,23690,387,921
SV-11 to SV-10,24611,386,1024
SV-11 to SV-10,25635,385,981
SV-11 to SV-10,26616,384,1125
SV-11 to SV-10,27741,383,1063
SV-11 to SV-10,28804,382,1033
SV-11 to SV-10,29837,381,1008
SV-11 to SV-10,30845,380,1024
SV-11 to SV-10,31869,379,1082
SV-11 to SV-10,32951,378,1086
SV-11 to SV-10,34037,377,997
SV-11 to SV-10,35034,376,1120
SV-11 to SV-10,36154,375,1038
SV-11 to SV-10,37192,374,991
SV-11 to SV-10,38183,373,637
SV-11 to SV-10,38820,372.594,-38820
SV-11 to Kanpur,130,409.87,183
SV-11 to Kanpur,313,410,996
SV-11 to Kanpur,1309,411,1073
SV-11 to Kanpur,2382,412,927
SV-11 to Kanpur,3309,413,1069
SV-11 to Kanpur,4378,414,977
SV-11 to Kanpur,5355,415,1067
SV-11 to Kanpur,6422,416,1120
SV-11 to Kanpur,7542,417,979
SV-11 to Kanpur,8521,418,1137
SV-11 to Kanpur,9658,419,1130
SV-11 to Kanpur,10788,420,1089
SV-11 to Kanpur,11877,421,1099
SV-11 to Kanpur,12976,422,947
SV-11 to Kanpur,13923,423,1077
SV-11 to Kanpur,15000,424,1027
SV-11 to Kanpur,16027,425,1096
SV-11 to Kanpur,17123,426,1027
SV-11 to Kanpur,18150,427,1014
SV-11 to Kanpur,19164,428,957
SV-11 to Kanpur,20121,429,1076
SV-11 to Kanpur,21197,430,1013
SV-11 to Kanpur,22210,431,1127
SV-11 to Kanpur,23337,432,997
SV-11 to Kanpur,24334,433,1098
SV-11 to Kanpur,25432,434,1047
SV-11 to Kanpur,26479,435,968
SV-11 to Kanpur,27447,436,1095
SV-11 to Kanpur,28542,437,958
SV-11 to Kanpur,29500,438,1077
SV-11 to Kanpur,30577,439,1090
SV-11 to Kanpur,31667,440,933
SV-11 to Kanpur,32600,441,1090
SV-11 to Kanpur,33690,442,560
SV-11 to Kanpur,34250,443,601
SV-11 to Kanpur,34851,443.33,-34851
